,dataset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Exp_Var_Ttl
0,room_1,0.557928574,0.442071426,0,0,0,0,0,1
0,room_2,0.276789505,0.150914503,0.12665986,0.104073311,0.078864431,0.061867104,0.051548019,0.850716733
0,room_3,0.242762123,0.163244049,0.1261497,0.097290286,0.085766202,0.069790511,0.056416054,0.841418925
0,room_4,0.234823172,0.160506501,0.152361441,0.114519408,0.066455766,0.058577154,0.057689239,0.844932682
0,room_5,0.24663626,0.167887676,0.137004865,0.11502553,0.065350891,0.060997462,0.058332432,0.851235117
0,room_exec,0.262520567,0.184353999,0.107057105,0.095304537,0.074626499,0.062821705,0.059041797,0.84572621
0,room_mg,0.619339153,0.224940112,0.084909459,0.053099641,0.010236233,0.0071431,0.000332302,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,dataset,room_1,room_2,room_3,room_4,room_5,room_exec,room_mg,
,PC1,0.557928574,0.276789505,0.242762123,0.234823172,0.24663626,0.262520567,0.619339153,
,PC2,0.442071426,0.150914503,0.163244049,0.160506501,0.167887676,0.184353999,0.224940112,
,PC3,0,0.12665986,0.1261497,0.152361441,0.137004865,0.107057105,0.084909459,
,PC4,0,0.104073311,0.097290286,0.114519408,0.11502553,0.095304537,0.053099641,
,PC5,0,0.078864431,0.085766202,0.066455766,0.065350891,0.074626499,0.010236233,
,PC6,0,0.061867104,0.069790511,0.058577154,0.060997462,0.062821705,0.0071431,
,PC7,0,0.051548019,0.056416054,0.057689239,0.058332432,0.059041797,0.000332302,
,Exp_Var_Ttl,1,0.850716733,0.841418925,0.844932682,0.851235117,0.84572621,1,
