,Name,School Type
0,Admiralty Secondary School,Secondary
1,Ahmad Ibrahim Secondary School,Secondary
2,Anderson Secondary School,Secondary
3,Anglican High School,Secondary
4,Anglo-Chinese School (Barker Road),Secondary
5,Anglo-Chinese School (Independent),Secondary
6,Ang Mo Kio Secondary School,Secondary
7,Assumption English School,Secondary
8,Bartley Secondary School,Secondary
9,Beatty Secondary School,Secondary
10,Bedok Green Secondary School,Secondary
11,Bedok South Secondary School,Secondary
12,Bedok View Secondary School,Secondary
13,Bendemeer Secondary School,Secondary
14,Boon Lay Secondary School,Secondary
15,Bowen Secondary School,Secondary
16,Broadrick Secondary School,Secondary
17,Bukit Batok Secondary School,Secondary
18,Bukit Merah Secondary School,Secondary
19,Bukit Panjang Government High School,Secondary
20,Bukit View Secondary School,Secondary
21,Catholic High School,Secondary
22,Canberra Secondary School,Secondary
23,Cedar Girls' Secondary School,Secondary
24,Changkat Changi Secondary School,Secondary
25,CHIJ Katong Convent (Secondary),Secondary
26,CHIJ Secondary (Toa Payoh),Secondary
27,CHIJ St. Joseph's Convent,Secondary
28,CHIJ St. Nicholas Girls' School,Secondary
29,CHIJ St. Theresa's Convent,Secondary
30,Chua Chu Kang Secondary School,Secondary
31,Christ Church Secondary School,Secondary
32,Chung Cheng High School (Main),Secondary
33,Chung Cheng High School (Yishun),Secondary
34,Clementi Town Secondary School,Secondary
35,Commonwealth Secondary School,Secondary
36,Compassvale Secondary School,Secondary
37,Crescent Girls' School,Secondary
38,Damai Secondary School,Secondary
39,Deyi Secondary School,Secondary
40,Dunearn Secondary School,Secondary
41,Dunman High School,Secondary
42,Dunman Secondary School,Secondary
43,East Spring Secondary School,Secondary
44,Edgefield Secondary School,Secondary
45,Evergreen Secondary School,Secondary
46,Fairfield Methodist Secondary School,Secondary
47,Fajar Secondary School,Secondary
48,Fuchun Secondary School,Secondary
49,Fuhua Secondary School,Secondary
50,Gan Eng Seng School,Secondary
51,Geylang Methodist School (Secondary),Secondary
52,Greendale Secondary School,Secondary
53,Greenridge Secondary School,Secondary
54,Guangyang Secondary School,Secondary
55,Hai Sing Catholic School,Secondary
56,Hillgrove Secondary School,Secondary
57,Holy Innocents' High School,Secondary
58,Hong Kah Secondary School,Secondary
59,Hougang Secondary School,Secondary
60,Hua Yi Secondary School,Secondary
61,Hwa Chong Institution,Secondary
62,Junyuan Secondary School,Secondary
63,Jurong Secondary School,Secondary
64,Jurong West Secondary School,Secondary
65,Jurongville Secondary School,Secondary
66,Juying Secondary School,Secondary
67,Kent Ridge Secondary School,Secondary
68,Kranji Secondary School,Secondary
69,Kuo Chuan Presbyterian Secondary School,Secondary
70,Loyang View Secondary School,Secondary
71,Manjusri Secondary School,Secondary
72,Maris Stella High School,Secondary
73,Marsiling Secondary School,Secondary
74,Mayflower Secondary School,Secondary
75,Meridian Secondary School,Secondary
76,Methodist Girls' School (Secondary),Secondary
77,Montfort Secondary School,Secondary
78,Nan Chiau High School,Secondary
79,Nan Hua High School,Secondary
80,Nanyang Girls' High School,Secondary
81,National Junior College,Secondary
82,Naval Base Secondary School,Secondary
83,New Town Secondary School,Secondary
84,Ngee Ann Secondary School,Secondary
85,North Vista Secondary School,Secondary
86,Northbrooks Secondary School,Secondary
87,Northland Secondary School,Secondary
88,NUS High School of Mathematics and Science,Secondary
89,Orchid Park Secondary School,Secondary
90,Outram Secondary School,Secondary
91,Pasir Ris Crest Secondary School,Secondary
92,Pasir Ris Secondary School,Secondary
93,Paya Lebar Methodist Girls' School (Secondary),Secondary
94,Pei Hwa Secondary School,Secondary
95,Peicai Secondary School,Secondary
96,Peirce Secondary School,Secondary
97,Ping Yi Secondary School,Secondary
98,Presbyterian High School,Secondary
99,Punggol Secondary School,Secondary
100,Queenstown Secondary School,Secondary
101,Queensway Secondary School,Secondary
102,Raffles Girls' School (Secondary),Secondary
103,Raffles Institution,Secondary
104,Regent Secondary School,Secondary
105,Riverside Secondary School,Secondary
106,River Valley High School,Secondary
107,St. Andrew's Secondary School,Secondary
108,St. Patrick's School,Secondary
109,"School of Science and Technology, Singapore",Secondary
110,"School of the Arts, Singapore",Secondary
111,Sembawang Secondary School,Secondary
112,Seng Kang Secondary School,Secondary
113,Serangoon Garden Secondary School,Secondary
114,Serangoon Secondary School,Secondary
115,Shuqun Secondary School,Secondary
116,Singapore Chinese Girls' School,Secondary
117,Singapore Sports School,Secondary
118,Springfield Secondary School,Secondary
119,St. Anthony's Canossian Secondary School,Secondary
120,St. Gabriel's Secondary School,Secondary
121,St. Hilda's Secondary School,Secondary
122,St. Margaret's Secondary School,Secondary
123,St. Joseph's Institution,Secondary
124,Swiss Cottage Secondary School,Secondary
125,Tanglin Secondary School,Secondary
126,Tampines Secondary School,Secondary
127,Tanjong Katong Girls' School,Secondary
128,Tanjong Katong Secondary School,Secondary
129,Teck Whye Secondary School,Secondary
130,Temasek Junior College,Secondary
131,Temasek Secondary School,Secondary
132,Unity Secondary School,Secondary
133,Victoria School,Secondary
134,West Spring Secondary School,Secondary
135,Westwood Secondary School,Secondary
136,Whitley Secondary School,Secondary
137,Woodgrove Secondary School,Secondary
138,Woodlands Ring Secondary School,Secondary
139,Woodlands Secondary School,Secondary
140,Xinmin Secondary School,Secondary
141,Yio Chu Kang Secondary School,Secondary
142,Yishun Secondary School,Secondary
143,Yishun Town Secondary School,Secondary
144,Yuan Ching Secondary School,Secondary
145,Yuhua Secondary School,Secondary
146,Yusof Ishak Secondary School,Secondary
147,Yuying Secondary School,Secondary
148,Zhenghua Secondary School,Secondary
149,Zhonghua Secondary School,Secondary
